"","Day","modColor","ontology","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"1","Day1","black","BP","growth","GO:0040007",3.84903439397021e-06,0.999999548342252,10,45
"2","Day1","black","BP","translation","GO:0006412",4.16366224462744e-05,0.999986621550995,21,215
"3","Day1","black","BP","ribosome biogenesis","GO:0042254",0.00029054617970371,0.999898151125518,19,212
"4","Day1","black","BP","lipid metabolic process","GO:0006629",0.000299104088751408,0.999872268525171,27,357
"5","Day1","black","BP","catabolic process","GO:0009056",0.000362290962678361,0.99983542958402,30,419
"6","Day1","black","BP","sulfur compound metabolic process","GO:0006790",0.0049486711914615,0.998351230692806,11,122
"7","Day1","black","BP","response to stress","GO:0006950",0.00501039078790114,0.997348570988713,28,455
"8","Day1","black","BP","cell wall organization or biogenesis","GO:0071554",0.00526466228286873,0.999384317823672,4,20
"9","Day1","black","BP","cellular nitrogen compound metabolic process","GO:0034641",0.0077985727426361,0.99464276773324,68,1387
"10","Day1","black","BP","tRNA metabolic process","GO:0006399",0.0128722972291654,0.995353516065626,10,121
"11","Day1","black","BP","cell population proliferation","GO:0008283",0.0192202559419553,0.995629005130264,5,43
"12","Day1","black","BP","transport","GO:0006810",0.0338097307661608,0.983323033800228,14,223
"13","Day1","black","BP","anatomical structure development","GO:0048856",0.0476880777028629,0.982343564366976,7,91
"14","Day1","black","MF","structural constituent of ribosome","GO:0003735",3.42367970653914e-05,0.999990759219301,17,150
"15","Day1","black","MF","peptidase activity","GO:0008233",0.000374422597654972,0.999806698791169,41,641
"16","Day1","black","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810",0.00121940419988995,0.999689950588504,10,87
"17","Day1","black","MF","hydrolase activity, acting on glycosyl bonds","GO:0016798",0.00274520976364787,0.998966617695501,15,182
"18","Day1","black","MF","enzyme regulator activity","GO:0030234",0.00472600713602259,0.997731682282099,22,329
"19","Day1","black","MF","oxidoreductase activity","GO:0016491",0.0174913148580379,0.988517402402033,44,869
"20","Day1","black","MF","nuclease activity","GO:0004518",0.0321042917558189,0.985884693653838,11,160
"21","Day1","greenyellow","BP","ribosome biogenesis","GO:0042254",2.41798549910901e-25,1,61,212
"22","Day1","greenyellow","BP","translation","GO:0006412",2.96543947304348e-23,1,58,215
"23","Day1","greenyellow","BP","biosynthetic process","GO:0009058",7.86197567653513e-05,0.999948126505103,125,1673
"24","Day1","greenyellow","BP","cellular nitrogen compound metabolic process","GO:0034641",9.12899224683252e-05,0.999941454352986,107,1387
"25","Day1","greenyellow","BP","generation of precursor metabolites and energy","GO:0006091",0.00082149728384771,0.999709674267568,17,131
"26","Day1","greenyellow","BP","carbohydrate metabolic process","GO:0005975",0.00380423577923226,0.997988316269961,30,346
"27","Day1","greenyellow","BP","catabolic process","GO:0009056",0.00387211761341551,0.997840058341225,35,419
"28","Day1","greenyellow","BP","small molecule metabolic process","GO:0044281",0.00474745218197596,0.997148714575233,43,536
"29","Day1","greenyellow","BP","biological process involved in symbiotic interaction","GO:0044403",0.0222375839939987,0.999022422264233,2,4
"30","Day1","greenyellow","BP","cell wall organization or biogenesis","GO:0071554",0.0247429804962726,0.995422751623035,4,20
"31","Day1","greenyellow","BP","transmembrane transport","GO:0055085",0.0382012082921438,0.978026936088337,21,268
"32","Day1","greenyellow","BP","homeostatic process","GO:0042592",0.0422539185545659,0.979291421585949,13,144
"33","Day1","greenyellow","BP","tRNA metabolic process","GO:0006399",0.0493645987705851,0.976910950642066,11,121
"34","Day1","greenyellow","MF","structural constituent of ribosome","GO:0003735",4.58722367810478e-27,1,54,150
"35","Day1","greenyellow","MF","oxidoreductase activity","GO:0016491",2.61015174025655e-11,1,94,869
"36","Day1","greenyellow","MF","peptidase activity","GO:0008233",0.00105909278308466,0.999383223728038,51,641
"37","Day1","greenyellow","MF","RNA binding","GO:0003723",0.00178373087621922,0.999143527594146,27,281
"38","Day1","greenyellow","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810",0.00261220325604319,0.999167266708039,12,87
"39","Day1","greenyellow","MF","structural molecule activity","GO:0005198",0.00866316490900364,0.997096795017171,10,84
"40","Day1","greenyellow","MF","DNA binding","GO:0003677",0.0110075172429845,0.992318065173222,68,955
