"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105335483","Day 1","black","crg00592",1.37,0.15,"alpha-Linolenic acid metabolism","LOC111121965"," group XIIA secretory phospholipase A2-like"
"2","crg:105335483","Day 1","black","crg00592",1.37,0.15,"alpha-Linolenic acid metabolism","LOC111121964"," group XIIA secretory phospholipase A2-like"
"3","crg:105335487","Day 1","black","crg00592",1.37,0.15,"alpha-Linolenic acid metabolism","LOC111103312"," basic phospholipase A2 3-like"
"4","crg:105335903","Day 1","black","crg00592",1.37,0.15,"alpha-Linolenic acid metabolism","LOC111104768"," uncharacterized"
"5","crg:105343298","Day 1","black","crg00592",1.37,0.15,"alpha-Linolenic acid metabolism","LOC111136645"," uncharacterized"
"6","crg:105335483","Day 1","black","crg00591",1.37,0.1,"Linoleic acid metabolism","LOC111121965"," group XIIA secretory phospholipase A2-like"
"7","crg:105335483","Day 1","black","crg00591",1.37,0.1,"Linoleic acid metabolism","LOC111121964"," group XIIA secretory phospholipase A2-like"
"8","crg:105335487","Day 1","black","crg00591",1.37,0.1,"Linoleic acid metabolism","LOC111103312"," basic phospholipase A2 3-like"
"9","crg:105335903","Day 1","black","crg00591",1.37,0.1,"Linoleic acid metabolism","LOC111104768"," uncharacterized"
"10","crg:105343298","Day 1","black","crg00591",1.37,0.1,"Linoleic acid metabolism","LOC111136645"," uncharacterized"
"11","crg:105335483","Day 1","black","crg00565",1.37,0.095,"Ether lipid metabolism","LOC111121965"," group XIIA secretory phospholipase A2-like"
"12","crg:105335483","Day 1","black","crg00565",1.37,0.095,"Ether lipid metabolism","LOC111121964"," group XIIA secretory phospholipase A2-like"
"13","crg:105335487","Day 1","black","crg00565",1.37,0.095,"Ether lipid metabolism","LOC111103312"," basic phospholipase A2 3-like"
"14","crg:105335903","Day 1","black","crg00565",1.37,0.095,"Ether lipid metabolism","LOC111104768"," uncharacterized"
"15","crg:105343298","Day 1","black","crg00565",1.37,0.095,"Ether lipid metabolism","LOC111136645"," uncharacterized"
"16","crg:105320589","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111115675"," phosphatidate phosphatase LPIN3-like"
"17","crg:105335483","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111121965"," group XIIA secretory phospholipase A2-like"
"18","crg:105335483","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111121964"," group XIIA secretory phospholipase A2-like"
"19","crg:105335487","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111103312"," basic phospholipase A2 3-like"
"20","crg:105335903","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111104768"," uncharacterized"
"21","crg:105343298","Day 1","black","crg00564",1.37,0.065,"Glycerophospholipid metabolism","LOC111136645"," uncharacterized"
"22","crg:105320144","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111101567"," uncharacterized"
"23","crg:105320144","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111101566"," uncharacterized"
"24","crg:105321845","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111134726"," tyrosine-protein phosphatase non-receptor type 11-like"
"25","crg:105323098","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111112332"," disintegrin and metalloproteinase domain-containing protein 10-like"
"26","crg:105323098","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111117423"," disintegrin and metalloproteinase domain-containing protein 10-like"
"27","crg:105325386","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111132787"," engulfment and cell motility protein 2-like"
"28","crg:105327545","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111104075"," prostaglandin E2 receptor EP4 subtype-like"
"29","crg:105328899","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111110874"," caspase-7-like"
"30","crg:105328899","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111115463"," caspase-7-like"
"31","crg:105330203","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111105140"," uncharacterized"
"32","crg:105338783","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111121748"," prostaglandin E2 receptor EP4 subtype-like"
"33","crg:105338783","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111121460"," prostaglandin E2 receptor EP4 subtype-like"
"34","crg:105339545","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111130979"," arginase, hepatic-like"
"35","crg:105339545","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111130969"," arginase, hepatic-like"
"36","crg:105339781","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111127890"," lactadherin-like"
"37","crg:105345877","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111133023"," lysosomal amino acid transporter 1 homolog"
"38","crg:105346717","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111134948"," lysosomal acid lipase/cholesteryl ester hydrolase-like"
"39","crg:105346717","Day 1","black","crg04148",1.37,0.062,"Efferocytosis","LOC111134947"," gastric triacylglycerol lipase-like"
"40","crg:105322897","Day 1","black","crg04145",1.37,0.043,"Phagosome","LOC111136674"," transferrin receptor protein 1-like"
"41","crg:105331761","Day 1","black","crg04145",1.37,0.043,"Phagosome","LOC111113025"," cathepsin L1-like"
"42","crg:105338583","Day 1","black","crg04145",1.37,0.043,"Phagosome","LOC111124264"," tubulin beta chain-like"
"43","crg:105338718","Day 1","black","crg04145",1.37,0.043,"Phagosome","LOC111134525"," lysosome-associated membrane glycoprotein 1-like"
"44","crg:105321666","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111132054"," cytochrome c oxidase assembly protein COX15 homolog"
"45","crg:105324708","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111104634"," biliverdin reductase A-like"
"46","crg:105324708","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111104210"," biliverdin reductase A-like"
"47","crg:105324708","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111104780"," biliverdin reductase A-like"
"48","crg:105324708","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111104201"," biliverdin reductase A-like"
"49","crg:105330021","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111108307"," 5-aminolevulinate synthase, nonspecific, mitochondrial-like"
"50","crg:105330021","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111108232"," 5-aminolevulinate synthase, erythroid-specific, mitochondrial-like"
"51","crg:105330983","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111126053"," delta-aminolevulinic acid dehydratase-like"
"52","crg:105332219","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111130805"," frataxin, mitochondrial-like"
"53","crg:105332219","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111128562"," frataxin, mitochondrial-like"
"54","crg:105337244","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111099857"," probable glutamate--tRNA ligase, mitochondrial"
"55","crg:105340121","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111126157"," porphobilinogen deaminase-like"
"56","crg:105343480","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111133057"," cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial-like"
"57","crg:105343480","Day 1","blue","crg00860",1.35,0.4,"Porphyrin metabolism","LOC111134484"," cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial-like"
"58","crg:105318005","Day 1","blue","crg00750",1.37,0.17,"Vitamin B6 metabolism","LOC111110454"," pyridoxal 5'-phosphate synthase subunit PdxS-like"
"59","crg:105318005","Day 1","blue","crg00750",1.37,0.17,"Vitamin B6 metabolism","LOC111111393"," pyridoxal 5'-phosphate synthase subunit PdxS-like"
"60","crg:105318322","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111104122"," betaine--homocysteine S-methyltransferase 1-like"
"61","crg:105321028","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111119088"," probable flavin-containing monoamine oxidase A"
"62","crg:105325215","Day 1","blue","crg00531",1.32,0.17,"Glycosaminoglycan degradation","LOC111121092"," beta-hexosaminidase-like"
"63","crg:105325216","Day 1","blue","crg00531",1.32,0.17,"Glycosaminoglycan degradation","LOC111132880"," putative beta-hexosaminidase"
"64","crg:105325247","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111116065"," phosphoserine aminotransferase-like"
"65","crg:105325247","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111115125"," phosphoserine aminotransferase-like"
"66","crg:105325247","Day 1","blue","crg00750",1.37,0.17,"Vitamin B6 metabolism","LOC111116065"," phosphoserine aminotransferase-like"
"67","crg:105325247","Day 1","blue","crg00750",1.37,0.17,"Vitamin B6 metabolism","LOC111115125"," phosphoserine aminotransferase-like"
"68","crg:105330021","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111108307"," 5-aminolevulinate synthase, nonspecific, mitochondrial-like"
"69","crg:105330021","Day 1","blue","crg00260",1.37,0.17,"Glycine, serine and threonine metabolism","LOC111108232"," 5-aminolevulinate synthase, erythroid-specific, mitochondrial-like"
"70","crg:105331402","Day 1","blue","crg00531",1.32,0.17,"Glycosaminoglycan degradation","LOC111117641"," beta-hexosaminidase-like"
"71","crg:105331402","Day 1","blue","crg00531",1.32,0.17,"Glycosaminoglycan degradation","LOC111114846"," beta-hexosaminidase-like"
